"Problem","Severity","File","Line","Column","Rule","Description","URL","Category","Engine"
"1","3","/Users/rsoesemann/dev/projects/unhappy-soup/force-app/main/default/classes/ApexCRUDViolation.cls","7","4","ApexCRUDViolation","Validate CRUD permission before SOQL/DML operation or enforce user mode","https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_security.html#apexcrudviolation","Security","pmd"
"2","3","/Users/rsoesemann/dev/projects/unhappy-soup/force-app/main/default/classes/ApexCSRF.cls","3","9","ApexCSRF","Avoid making DML operations in Apex class constructor or initializers","https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_errorprone.html#apexcsrf","Error Prone","pmd"
"3","3","/Users/rsoesemann/dev/projects/unhappy-soup/force-app/main/default/classes/ApexCSRF.cls","4","3","ApexCRUDViolation","Validate CRUD permission before SOQL/DML operation or enforce user mode","https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_security.html#apexcrudviolation","Security","pmd"
"4","3","/Users/rsoesemann/dev/projects/unhappy-soup/force-app/main/default/classes/ApexCSRF.cls","7","9","ApexCSRF","Avoid making DML operations in Apex class constructor or initializers","https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_errorprone.html#apexcsrf","Error Prone","pmd"
"5","3","/Users/rsoesemann/dev/projects/unhappy-soup/force-app/main/default/classes/ApexCSRF.cls","8","3","ApexCRUDViolation","Validate CRUD permission before SOQL/DML operation or enforce user mode","https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_security.html#apexcrudviolation","Security","pmd"
"6","3","/Users/rsoesemann/dev/projects/unhappy-soup/force-app/main/default/classes/ApexInsecureEndpoint.cls","4","33","ApexInsecureEndpoint","Apex callouts should use encrypted communication channels","https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_security.html#apexinsecureendpoint","Security","pmd"
"7","3","/Users/rsoesemann/dev/projects/unhappy-soup/force-app/main/default/classes/ApexOpenRedirect.cls","6","42","ApexOpenRedirect","Apex classes should safely redirect to a known location","https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_security.html#apexopenredirect","Security","pmd"
"8","3","/Users/rsoesemann/dev/projects/unhappy-soup/force-app/main/default/classes/ApexSOQLInjection.cls","1","14","ApexSharingViolations","Apex classes should declare a sharing model if DML or SOQL/SOSL is used","https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_security.html#apexsharingviolations","Security","pmd"
"9","3","/Users/rsoesemann/dev/projects/unhappy-soup/force-app/main/default/classes/ApexSharingViolations.cls","1","14","ApexSharingViolations","Apex classes should declare a sharing model if DML or SOQL/SOSL is used","https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_security.html#apexsharingviolations","Security","pmd"
"10","3","/Users/rsoesemann/dev/projects/unhappy-soup/force-app/main/default/classes/ApexSharingViolations.cls","4","3","ApexCRUDViolation","Validate CRUD permission before SOQL/DML operation or enforce user mode","https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_security.html#apexcrudviolation","Security","pmd"
